Riktlinje nr ,URL ,Namn ,Beskrivning ,Prio ,Princip(er) ,Taggar,Senast uppdaterad: ,Status: 
117,https://webbriktlinjer.se/riktlinjer/117-texta-inspelad-rorlig-media/,"Texta inspelad rörlig media (video, ljud, animationer…)",Inspelad digital video ska ha undertexter (kallas även textbeskrivningar eller textremsa) och för ljudinspelningar (till exempel podcasts) med mera ska en textversion erbjudas.,1,,"DOS-lagen, en301549, en301549 utöver WCAG, Ljud, multimedia, textning",2020-11-30,na
115,https://webbriktlinjer.se/riktlinjer/115-textalternativ/,Beskriv med text allt innehåll som inte är text,"<b>Användare som är beroende av till exempel skärmläsare och punktdisplay behöver beskrivningar av allt innehåll som inte är text. Det beskrivs i textalternativ eller alt-texter som det också kallas.</b>

Det gäller till exempel:
<ul>
 	<li>Bilder (förutom sådana som endast används för dekoration)</li>
 	<li>Diagram</li>
 	<li>Animationer</li>
 	<li>Ljudsignaler</li>
</ul>
Se därför till att allt sådant innehåll beskrivs med hjälp av text, förutom i de undantagsfall som beskrivs i <abbr title=""Web Content Accessibility Guidelines"">WCAG</abbr>-kriteriet.  Undantagen gäller framförallt sådana situationer där en beskrivande text skulle motverka innehållets syfte (till exempel när syftet med ett ljud är att testa användarens hörsel).",1,Tillgänglig,"alt-text, bildbeskrivning, Bilder, bildtext, CAPTCHA, DOS-lagen, skärmläsare, talsyntes, textalternativ, textbeskrivning",2021-03-29,partial
126,https://webbriktlinjer.se/riktlinjer/126-tillrackliga-kontraster/,Använd tillräcklig kontrast mellan text och bakgrund,"Bra kontrast mellan text och bakgrund är viktigt för läsbarheten, särskilt för personer med nedsatt synförmåga.",1,Tillgänglig,"DOS-lagen, kontrast",2018-11-28,partial
129,https://webbriktlinjer.se/riktlinjer/129-gar-att-hantera-med-tangentbord/,Utveckla systemet så att det går att hantera med enbart tangentbordet,"Se till att det går att hantera all funktionalitet med enbart tangentbord, eftersom många hjälpmedel i praktiken fungerar som tangentbord.
",1,Tillgänglig,"DOS-lagen, tangentbord",2018-11-30,ok
140,https://webbriktlinjer.se/riktlinjer/140-markera-element-i-fokus/,Markera tydligt vilket fält eller element som är i fokus,"Den som navigerar med t.ex. tab-tangenten behöver få veta var fokus ligger. Standardmarkeringen är ofta en tunn linje som är svår att se. 
Gör markeringen tydlig, till exempel med en CSS-regel.",1,Tillgänglig,"DOS-lagen, Lågt hängande frukt",2020-12-23,fail
150,https://webbriktlinjer.se/riktlinjer/150-ge-mojlighet-att-angra-korrigera-eller-bekrafta-viktiga-transaktioner/,"Ge möjlighet att ångra, korrigera eller bekräfta vid viktiga transaktioner","Den som råkar göra något fel kan slippa mycket besvär om felet kan upptäckas och åtgärdas direkt.
",1,Tillgänglig,"bekräftelse, DOS-lagen, Felhantering",2018-03-09,na
125,https://webbriktlinjer.se/riktlinjer/125-kunna-pausa-ljud/,"Ge användaren möjlighet att pausa, stänga av eller sänka ljud","Det ska alltid vara möjligt att pausa, stoppa eller sänka sådant ljud som spelas upp automatiskt.
",1,Tillgänglig,"distraktion, DOS-lagen, kontrast, Ljud",2018-11-28,na
122,https://webbriktlinjer.se/riktlinjer/122-meningsfull-ordning/,Presentera innehållet i en meningsfull ordning för alla,Utforma innehållet på ett sätt som bevarar den avsedda betydelsen för alla användare.,1,Tillgänglig,"CSS, DOS-lagen, läsordning, responsiv",2020-10-08,ok
124,https://webbriktlinjer.se/riktlinjer/124-inte-bara-farg/,Använd inte enbart färg för att förmedla information,"Använd gärna färger, men låt inte färgskillnader vara det enda sättet att urskilja information utan komplettera med exempelvis text, mönster eller någon annan visuell indikation. 
",1,Tillgänglig,DOS-lagen,2018-11-28,partial
123,https://webbriktlinjer.se/riktlinjer/123-ej-beroende-av-sensoriska-kannetecken/,Gör inte instruktioner beroende av sensoriska kännetecken,"Även den som inte kan uppfatta form, storlek eller har möjlighet att relatera till höger eller vänster behöver kunna förstå hänvisningar till navigation och instruktioner.
",1,Tillgänglig,DOS-lagen,2018-11-28,na
119,https://webbriktlinjer.se/riktlinjer/119-texta-direktsandningar/,Texta direktsändningar,"Digital video ska ha undertexter och för annat ljud bör en textversion erbjudas. Denna riktlinje gäller direktsändningar.
",1,Tillgänglig,undertexter,2020-09-25,na
127,https://webbriktlinjer.se/riktlinjer/127-se-till-att-text-gar-att-forstora-utan-problem/,Se till att text går att förstora utan problem,Det ska vara möjligt att förstora texten till åtminstone dubbel höjd och bredd utan att problem uppstår (till exempel att text hamnar bakom en bild eller krockar med annan text).,1,Tillgänglig,DOS-lagen,2018-11-28,ok
132,https://webbriktlinjer.se/riktlinjer/132-ge-anvandarna-mojlighet-att-pausa-eller-stanga-av-rorelser/,Ge användarna möjlighet att pausa eller stänga av rörelser,"Personer som har svårt att fokusera, läsa eller behålla koncentration behöver kunna pausa rörelser eller stänga av visuella distraktioner.",1,Tillgänglig,DOS-lagen,2018-12-05,na
130,https://webbriktlinjer.se/riktlinjer/130-se-till-att-markoren-inte-fastnar-vid-tangentbordsnavigation/,Se till att markören inte fastnar vid tangentbordsnavigation,Markören ska inte fastna vid tangentbordsnavigation. Det kan hindra besökare att använda webbplatsen eller vissa funktioner.,1,Tillgänglig,"DOS-lagen, hjälpmedel, inmatning, progressive enhancement, tangentbord",2018-12-05,ok
120,https://webbriktlinjer.se/riktlinjer/120-syntolka-videoinspelningar/,Syntolka videoinspelningar,"Ordna med syntolkning om det behövs för att personer med begränsad syn ska kunna ta del av videoinnehåll.
",1,Tillgänglig,"DOS-lagen, en301549, en301549 utöver WCAG, syntolkning",2020-12-03,na
118,https://webbriktlinjer.se/riktlinjer/118-syntolka-eller-erbjud-alternativ-till-videoinspelningar/,Syntolka eller erbjud alternativ till videoinspelningar,"Den som inte kan ta del av det visuella innehållet i videoinspelningar, till exempel på grund av synnedsättning, ska kunna få motsvarande information antingen i form av syntolkning (ljudbeskrivning) eller presenterad som text. 


",1,,syntolkning,2018-12-05,na
121,https://webbriktlinjer.se/riktlinjer/121-ange-i-kod-vad-sidans-olika-delar-har-for-roll/,Ange i kod vad sidans olika delar har för roll,"Öka chansen att informationen presenteras korrekt oavsett mottagarens verktyg, genom att använda html-elementen på rätt sätt.",1,,"DOS-lagen, Omfattande riktlinje",2019-02-18,ok
116,https://webbriktlinjer.se/riktlinjer/116-alternativ-vid-enbart-ljud-video/,Erbjud alternativ om en inspelning enbart består av ljud eller video,"Användare som inte kan ta del av ljud- eller videoinspelningar ska ha en möjlighet att tillgodogöra sig innehållet med hjälp av en alternativ representation.
",1,Tillgänglig,"alternativ, DOS-lagen, inspelningar, podcast",2018-12-05,na
146,https://webbriktlinjer.se/riktlinjer/146-benamn-funktioner-konsekvent/,Benämn funktioner konsekvent,Konsekvent benämning av saker på hela webbplatsen underlättar för alla användare att känna igen sig och minskar onödig kognitiv belastning.,1,Tillgänglig,DOS-lagen,2018-12-05,ok
152,https://webbriktlinjer.se/riktlinjer/152-se-till-att-skraddarsydda-komponenter-fungerar-hjalpmedel/,Se till att skräddarsydda komponenter fungerar i hjälpmedel,"Komponenter behöver exponera namn, roll och värde till operativsystemets tillgänglighets-API för att fungera med vissa hjälpmedel.",1,Tillgänglig,DOS-lagen,2018-12-05,na
149,https://webbriktlinjer.se/riktlinjer/149-ge-forslag-pa-hur-fel-kan-rattas-till/,Ge förslag på hur fel kan rättas till,När fel upptäcks automatiskt bör förslag på korrekt inmatning presenteras för användaren om det är möjligt.,1,Tillgänglig,"DOS-lagen, felmeddelande",2018-12-05,ok
144,https://webbriktlinjer.se/riktlinjer/144-utfor-inga-ovantade-forandringar-vid-inmatning/,Utför inga oväntade förändringar vid inmatning,Utför ändringar när användaren har anledning att förvänta sig dem. ,1,Tillgänglig,"DOS-lagen, dynamisk, Formulär, inmatning, sammanhang",2018-12-05,ok
143,https://webbriktlinjer.se/riktlinjer/143-utfor-inga-ovantade-forandringar-vid-fokusering/,Utför inga oväntade förändringar vid fokusering,Utför ändringar när användaren har anledning att förvänta sig dem.,1,Tillgänglig,DOS-lagen,2018-12-05,ok
128,https://webbriktlinjer.se/riktlinjer/128-anvand-text-inte-bilder-for-att-visa-text/,"Använd text, inte bilder, för att visa text","Användare behöver då och då anpassa texten bland annat genom att förstora eller välja ett annat teckensnitt, ändra förgrund- och bakgrundsfärger eller linjeavstånd. Om texten utgör en del av en bild saknas ofta de möjligheterna.",1,Tillgänglig,DOS-lagen,2018-11-28,na
131,https://webbriktlinjer.se/riktlinjer/131-ge-anvandarna-mojlighet-att-justera-tidsbegransningar/,Ge användarna möjlighet att justera tidsbegränsningar,"Användare behöver ibland möjlighet att justera tidsbegränsningar som finns inbyggda i systemet, till exempel i en beställningsfunktion. Ge dem det!",1,Tillgänglig,"DOS-lagen, Tidsbegränsning, timeout, utloggning",2018-12-05,na
135,https://webbriktlinjer.se/riktlinjer/135-skriv-beskrivande-sidtitlar/,Skriv beskrivande sidtitlar,"En bra beskrivande titel sammanfattar sidans ämne eller innehåll. Varje sida på en webbplats, liksom andra typer av dokument bör ha en unik titel.",1,Tillgänglig,DOS-lagen,2020-09-30,ok
142,https://webbriktlinjer.se/riktlinjer/142-ange-sprakforandringar-koden/,Ange språkförändringar i koden,"För att öka sannolikheten att till exempel skärmläsare presenterar innehållet korrekt bör html-koden ange aktuellt språk med hjälp av lang-attribut.
",1,Tillgänglig,DOS-lagen,2018-12-05,na
141,https://webbriktlinjer.se/riktlinjer/141-ange-sidans-sprak-i-koden/,Ange sidans språk i koden,"För att öka sannolikheten att till exempel skärmläsare presenterar innehållet korrekt bör html-koden ange aktuellt språk med hjälp av lang-attribut. 
",1,Tillgänglig,"DOS-lagen, Lågt hängande frukt",2018-12-05,ok
136,https://webbriktlinjer.se/riktlinjer/136-gor-en-logisk-tab-ordning/,Gör en logisk tab-ordning,"Testa tab-ordningen genom att granska en sida av varje sidtyp utan hjälp av tryckkänslig skärm, mus eller annat pekdon.",1,Tillgänglig,DOS-lagen,2018-12-05,ok
133,https://webbriktlinjer.se/riktlinjer/133-orsaka-inte-epileptiska-anfall-genom-blinkande/,Orsaka inte epileptiska anfall genom blinkande,Personer med en viss kategori av epilepsi kan få krampanfall om de utsätts för snabbt blinkande “flimmer” som upptar en tillräckligt stor del av synfältet.,1,Tillgänglig,DOS-lagen,2018-12-05,na
154,https://webbriktlinjer.se/riktlinjer/154-mark-upp-vanliga-formularfalt-i-koden/,Märk upp vanliga formulärfält i koden,"Hjälp dina användare att fylla i inmatningsfält genom att i koden ange vilken typ av innehåll som förväntas. Då kan webbläsare eller hjälpmedel ibland automatiskt föreslå inmatning (baserat på till exempel tidigare inmatning i fält av samma typ) i vanliga formulärfält (såsom gatu- och postadress). Systemet kan också ytterligare hjälpa användaren genom att presentera fältet på ett sätt (till exempel med en symbol) som användaren känner igen. 

Det är bra för alla användare, men kanske framför allt för personer med vissa kognitiva och motoriska funktionsnedsättningar. Det underlättar också för användare som inte behärskar språket så bra.",1,"Effektiv, Tillgänglig","autocomplete, DOS-lagen, Formulär, Nytt i WCAG 2.1, symboler, sökförslag",2018-11-28,ok
156,https://webbriktlinjer.se/riktlinjer/156-anvand-tillrackliga-kontraster-i-komponenter-och-grafik/,Använd tillräckliga kontraster i komponenter och grafik,"Personer med nedsatt syn har ofta svårt att urskilja visuella kontraster mellan exempelvis en symbol och dess bakgrund, och riskerar därför att missa information. Designa därför webbplatsen så att komponenter i gränssnittet och informationsbärande grafik har tillräckliga kontraster. Som komponenter räknas till exempel knappar och formulärfält. Som grafiska objekt räknas exempelvis ikoner och betydelsefulla delar av illustrationer och diagram (till exempel kurvor och pilar).

Denna riktlinje liknar <a href=""/126"">Använd tillräcklig kontrast mellan text och bakgrund (R126)</a> (som motsvarar WCAG-kriteriet 1.4.3). Men nu gäller alltså motsvarande krav även för innehåll som inte är text. ",1,Tillgänglig,"Bild, DOS-lagen, kontrast, Nytt i WCAG 2.1",2019-02-25,na
157,https://webbriktlinjer.se/riktlinjer/157-avstand-mellan-tecken-rader-stycken-och-ord/,"Se till att det går att öka avstånd mellan tecken, rader, stycken och ord","Många användare, till exempel dyslektiker och personer med nedsatt syn, behöver kunna påverka avståndet mellan stycken, rader, ord och tecken för att lättare kunna läsa. Gör det därför möjligt för användaren att påverka avstånden utan att innehåll eller funktionalitet krockar eller gömmer sig bakom annat innehåll.

Denna riktlinje är närliggande riktlinjen <a href=""https://webbriktlinjer.se/riktlinjer/127-se-till-att-text-gar-att-forstora-utan-problem/"">Se till att text går att förstora utan problem (R127)</a> men gäller alltså mellanrummen och inte själva tecknen.

Användaren ska ha möjlighet att öka avstånd åtminstone upp till följande relativa gränsvärden:
<ul>
 	<li>Radavstånd ska kunna ökas minst 1,5 gånger teckensnittets storlek.</li>
 	<li>Teckenavstånd ska kunna ökas minst 0,12 gånger teckensnittets storlek.</li>
 	<li>Avståndet mellan ord ska kunna ökas minst 0,16 gånger teckensnittets storlek.</li>
 	<li>Avståndet mellan stycken ska kunna ökas minst 2 gånger teckensnittets storlek.</li>
</ul>
Förstoring av mellanrum kan ske på olika sätt. Till exempel med hjälp av <a href=""https://www.html5accessibility.com/tests/tsbookmarklet.html"">en bookmarklet som ökar avstånden</a>, med ett förstoringshjälpmedel eller genom att <a href=""http://people.ds.cam.ac.uk/ssb22/css/"">ställa in webbläsaren att tillämpa användarens egen css-kod</a>.

Riktlinjen gäller inte för <a href=""https://webbriktlinjer.se/riktlinjer/117-texta-inspelad-rorlig-media/#erbjud-stangda-undertexter-for-digital-video"">öppna undertexter i video</a> och inte heller för text som förekommer i bilder (vilket i och för sig ofta bör undvikas, se <a href=""https://webbriktlinjer.se/riktlinjer/128-anvand-text-inte-bilder-for-att-visa-text/"">Använd text, inte bilder, för att visa text (R128)</a>). För närvarande är även PDF undantaget.
",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1, radavstånd, Typografi",2018-11-28,ok
158,https://webbriktlinjer.se/riktlinjer/158-popup-funktioner-ska-kunna-hanteras-och-stangas-av-alla/,Popup-funktioner ska kunna hanteras och stängas av alla,"Innehåll, till exempel popup-rutor, som dyker upp vid tangentbordsfokus eller när användaren för muspekaren (hovrar) över ett visst objekt ska kunna uppfattas och hanteras av alla - även av användare som har förstorat sidan eller tar längre tid på sig att komma till innehållet. Det är särskilt viktigt att innehållet enkelt kan tas bort eller stängas.

Det kan till exempel gälla undermenyer, inforutor (tooltips) och icke-modala popup-fönster.

Tyvärr skapar sådant innehåll annars ofta tillgänglighetsproblem, till exempel för att:
<ul>
 	<li>användaren inte har aktiverat funktionen med avsikt,</li>
 	<li>användaren inte blir medveten om att det har dykt upp nytt innehåll eller</li>
 	<li>det nya innehållet stör användarens förmåga att genomföra en uppgift.</li>
</ul>",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1",2018-11-28,ok
160,https://webbriktlinjer.se/riktlinjer/160-erbjud-alternativ-till-komplexa-fingerrorelser/,Erbjud alternativ till komplexa fingerrörelser,"Alla personer kan inte hantera komplexa rörelser på en pekskärm, så kallade fingergester. Detta gäller till exempel att svajpa (swipe) och gester som kräver flera fingrar (multi-touch) såsom dra isär och nyp ihop. Det kan bero på motoriska eller kognitiva begränsningar, vilket hjälpmedel en användare har eller användarens brist på kunskap om gränssnittet. Komplettera därför alltid sådana med enklare interaktion såsom klick, dubbelklick eller tryck, såvida inte rörelsen är avgörande för funktionaliteten. 

Observera att riktlinjen bara gäller webbplatsens eller appens gränssnitt. Det gäller inte operativsystemets eller webbläsarens funktioner, såsom horisontell svepning för att navigera i sidhistoriken. 

Riktlinjen undantar funktionalitet som naturligt kräver mer komplexa rörelser, till exempel att skriva sin signatur. 
",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1, pekskärm",2018-12-20,na
161,https://webbriktlinjer.se/riktlinjer/161-gor-det-mojligt-att-angra-klick/,Gör det möjligt att ångra klick,"Den som använder pekskärm eller pekdon som exempelvis mus behöver kunna ångra sig om knappen eller trycket skedde av misstag. Erbjud därför minst en sådan möjlighet. 

Möjligheten att ångra ett påbörjat klick är värdefull därför att den minskar risken för att aktivera funktioner av misstag. Vem som helst kan råka trycka vid fel plats eller tillfälle, och det är extra lätt hänt för personer med vissa funktionsnedsättningar (exempelvis begränsad motorisk kontroll eller synnedsättning).

Denna riktlinje berör dig som programmerar användargränssnitt (“front-end”) med exempelvis Javascript, men inte dig som enbart jobbar med text, bild och formgivning.
",1,Tillgänglig,"DOS-lagen, inmatning, mus, Nytt i WCAG 2.1, pekdon, ångra",2018-12-20,ok
162,https://webbriktlinjer.se/riktlinjer/162-mojliggor-roststyrning-av-knappar-och-kontroller/,Se till att text på knappar och kontroller överensstämmer med maskinläsbara etiketter,"Se till att text som är synlig på knappar och andra gränssnittskontroller också finns i, och överensstämmer med, den maskinläsbara etikett som representerar kontrollen i exempelvis program för röststyrning.

Den som använder röststyrning säger vanligtvis det som står på en knapp för att använda knappen. Detta fungerar om det som står på knappen motsvarar den maskinläsbara texten. Upplevelsen för seende som använder skärmläsare blir också bättre om uppläst text matchar det som visas på skärmen. 
",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1, röststyrning, skärmläsare, wai-aria",2020-11-20,na
163,https://webbriktlinjer.se/riktlinjer/163-erbjud-alternativ-till-rorelsestyrning/,Erbjud alternativ till rörelsestyrning,"Se till att funktioner som aktiveras genom att användaren till exempel skakar, vrider, rör vid eller viftar framför enheten kan stängas av. Funktionerna ska även kunna aktiveras på något annat sätt. 

<a href=""/files/2018/08/rorelsestyrning.png""><img src=""/files/2018/08/rorelsestyrning-300x287.png"" alt=""Ovan: vridning av mobil medför förändring från läge 1 till läge 2. Nedan: Klick på knapp ger samma förändring."" width=""300"" height=""287"" class=""alignnone size-medium wp-image-19248"" /></a>

Detta hjälper personer som till exempel har enheten fastsatt vid en permobil eller som av någon annan anledning inte har fysisk möjlighet att utföra liknande rörelser. Det finns också användare som oavsiktligt kan aktivera den här typen av kontroller på grund av ofrivilliga skakningar (så kallad essentiell tremor) eller andra motoriska störningar.
",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1, rörelsestyrning",2018-11-28,na
164,https://webbriktlinjer.se/riktlinjer/164-meddelanden-som-inte-ar-fokus/,Se till att hjälpmedel kan presentera meddelanden som inte är i fokus,"Se till att de som använder tekniska hjälpmedel som exempelvis skärmläsare och förstoringsprogram kan göras uppmärksamma på viktiga meddelanden även om de presenteras utanför det område på sidan som användaren har i fokus. 
Ange med hjälp av attributen <code>role</code> eller <code>aria-live</code> var viktiga meddelanden kan förekomma, så får hjälpmedel kännedom om dessa och kan presentera dem för användaren vid ett lämpligt tillfälle.
Berörda användare riskerar annars att missa varningar, upplysningar och felmeddelanden. 
",1,Tillgänglig,"ajax, DOS-lagen, dynamisk, fokus, Nytt i WCAG 2.1, skärmläsare",2018-12-20,na
153,https://webbriktlinjer.se/riktlinjer/153-fungerar-oavsett-skarmens-riktning/,Se till att allt innehåll presenteras rätt oavsett skärmens riktning,"Alla människor har inte möjlighet att vrida på sin skärm. Vissa måste välja ett läge (stående eller liggande) och alltid använda detta, exempelvis med skärmen fast monterad på en rullstol. Skapa därför en design så att innehåll och funktioner är tillgängliga oavsett skärmens riktning. Då kan var och en välja det läge de föredrar.

<img src=""http://webbriktlinjer.se/files/2018/08/noun_Reading-1.png"" alt="""" width=""300"" height=""317"" class=""alignnone size-full wp-image-19311"" />
Det finns inget som hindrar att presentationen av innehållet och funktionerna skiljer sig åt mellan de båda lägena så länge innehållet är tillgängligt och funktionerna är åtkomliga och har normal funktion.

I riktlinjen finns undantag för när funktionaliteten är beroende av att användaren har skärmen i en viss riktning, till exempel ett pianoprogram där liggande läge är nödvändigt för att alla tangenterna ska få plats. Informera användaren om när en viss riktning av skärmen är nödvändigt.",1,Tillgänglig,"DOS-lagen, Nytt i WCAG 2.1, responsiv, skärmriktning",2018-11-28,ok
1,https://webbriktlinjer.se/riktlinjer/1-utga-fran-wcag-2-1-niva-aa/,Följ WCAG 2.1 nivå AA,"Följ Web Content Accessibility Guidelines (WCAG)  för att göra webbplatsen, innehållet och era tjänster tillgängliga för en bred mottagargrupp, inklusive personer med olika typer av funktionsnedsättningar. Detta maximerar värdet på de resurser ni lägger på webbutveckling och ökar samtidigt möjligheten för alla att delta i samhället på lika villkor.",Inaktiv,Tillgänglig,"Beställare, Förvaltning, Informatör, Nämner lag, Omfattande riktlinje, Språk, Tillgänglighet, Utvecklare, Utveckling, Webbplatsansvarig, Webbredaktör",2018-12-21,
1,https://webbriktlinjer.se/riktlinjer/1-utga-fran-wcag-2-1-niva-aa/,Följ WCAG 2.1 nivå AA,"Följ Web Content Accessibility Guidelines (WCAG)  för att göra webbplatsen, innehållet och era tjänster tillgängliga för en bred mottagargrupp, inklusive personer med olika typer av funktionsnedsättningar. Detta maximerar värdet på de resurser ni lägger på webbutveckling och ökar samtidigt möjligheten för alla att delta i samhället på lika villkor.",Inaktiv,Tillgänglig,"Beställare, Förvaltning, Informatör, Nämner lag, Omfattande riktlinje, Språk, Tillgänglighet, Utvecklare, Utveckling, Webbplatsansvarig, Webbredaktör",2018-12-21,
